chapter_num,balance,destiny,war,redemption,book
1,2,2,54,8,Water
2,5,1,48,10,Water
3,4,7,36,22,Water
4,5,6,80,19,Water
5,4,14,27,12,Water
6,0,5,42,10,Water
7,8,2,8,2,Water
8,4,4,26,11,Water
9,3,1,9,12,Water
10,0,3,15,10,Water
11,3,3,20,5,Water
12,1,7,27,36,Water
13,0,3,16,8,Water
14,1,6,44,9,Water
15,0,6,27,27,Water
16,1,13,8,5,Water
17,0,1,30,7,Water
18,1,3,9,13,Water
19,7,1,42,12,Water
20,13,6,21,4,Water
1,2,2,54,8,Earth
2,5,1,48,10,Earth
3,4,7,36,22,Earth
4,5,6,80,19,Earth
5,4,14,27,12,Earth
6,0,5,42,10,Earth
7,8,2,8,2,Earth
8,4,4,26,11,Earth
9,3,1,9,12,Earth
10,0,3,15,10,Earth
11,3,3,20,5,Earth
12,1,7,27,36,Earth
13,0,3,16,8,Earth
14,1,6,44,9,Earth
15,0,6,27,27,Earth
16,1,13,8,5,Earth
17,0,1,30,7,Earth
18,1,3,9,13,Earth
19,7,1,42,12,Earth
20,13,6,21,4,Earth
1,2,2,54,8,Fire
2,5,1,48,10,Fire
3,4,7,36,22,Fire
4,5,6,80,19,Fire
5,4,14,27,12,Fire
6,0,5,42,10,Fire
7,8,2,8,2,Fire
8,4,4,26,11,Fire
9,3,1,9,12,Fire
10,0,3,15,10,Fire
11,3,3,20,5,Fire
12,1,7,27,36,Fire
13,0,3,16,8,Fire
14,1,6,44,9,Fire
15,0,6,27,27,Fire
16,1,13,8,5,Fire
17,0,1,30,7,Fire
18,1,3,9,13,Fire
19,7,1,42,12,Fire
20,13,6,21,4,Fire
