chapter_num,balance,destiny,war,redemption,book
1,4,10,78,8,Water
2,6,8,110,10,Water
3,5,11,68,22,Water
4,5,16,100,20,Water
5,5,19,38,12,Water
6,1,7,73,11,Water
7,25,2,34,2,Water
8,6,12,45,11,Water
9,4,8,19,12,Water
10,0,6,74,10,Water
11,5,6,32,10,Water
12,4,16,40,38,Water
13,41,3,46,8,Water
14,1,21,54,9,Water
15,3,8,34,27,Water
16,1,30,33,5,Water
17,6,2,68,7,Water
18,4,18,25,13,Water
19,19,7,75,13,Water
20,50,13,60,4,Water
1,32,18,84,30,Earth
2,2,6,38,14,Earth
3,1,13,77,14,Earth
4,2,3,24,11,Earth
5,12,13,39,17,Earth
6,1,6,57,11,Earth
7,1,5,73,4,Earth
8,3,14,74,18,Earth
9,11,14,19,11,Earth
10,12,7,33,24,Earth
11,3,4,47,10,Earth
12,2,3,20,8,Earth
13,0,9,43,25,Earth
14,5,13,68,35,Earth
15,2,7,10,18,Earth
16,1,30,31,12,Earth
17,8,9,31,11,Earth
18,2,9,44,9,Earth
19,19,24,39,8,Earth
20,17,17,55,26,Earth
1,9,6,55,10,Fire
2,0,6,40,6,Fire
3,12,2,41,14,Fire
4,1,24,91,7,Fire
5,0,6,39,8,Fire
6,18,16,44,33,Fire
7,0,9,22,10,Fire
8,13,11,45,16,Fire
9,0,19,43,19,Fire
10,4,2,89,2,Fire
11,2,12,100,14,Fire
12,4,18,35,12,Fire
13,4,25,93,20,Fire
14,1,7,40,10,Fire
15,1,6,88,8,Fire
16,0,4,53,23,Fire
17,9,10,43,17,Fire
18,4,10,48,14,Fire
19,25,21,33,14,Fire
20,1,6,102,10,Fire
21,14,9,41,9,Fire
